번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1,95570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,46822295,46822295000,1000,원(KRW),02-6363-9999,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",768
2,68400,AJ렌터카,147601,운송장비 임대업,22146300,11073150000,500,원(KRW),1544-1600,서울특별시 구로구  서부샛길 822 ,768
3,6840,AK홀딩스,116409,기타 금융업,13247561,66237805000,5000,원(KRW),02-6923-2921,서울특별시 구로구 구로중앙로 152(구로동) ,768
4,27410,BGF리테일,74701,종합 소매업,49547625,49547625000,1000,,1577-3663,서울특별시 강남구 테헤란로 405 ,768
5,138930,BNK금융지주,116409,기타 금융업,325935246,1629676230000,5000,원(KRW),051-620-3022,부산광역시 남구 문현금융로 30(문현동) ,768
6,1460,BYC,31401,봉제의복 제조업,624615,4200000000,5000,원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3 ,768
7,1040,CJ,116409,기타 금융업,29176998,157914810000,5000,원(KRW),02-726-8114,"서울특별시 중구 동호로 330 쌍림동, 씨제이제일제당센터",768
8,79160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",21161313,10580656500,500,원(KRW),02-371-6660,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) ,768
9,120,CJ대한통운,84903,도로 화물 운송업,22812344,114061720000,5000,원(KRW),02-3782-0114,서울특별시 중구  세종대로9길 53 ,768
10,11150,CJ씨푸드,31007,기타 식품 제조업,35930773,18065386500,500,원(KRW),031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),768
11,97950,CJ제일제당,31007,기타 식품 제조업,13168998,72482155000,5000,원(KRW),726-8114,서울특별시 중구  동호로 330 ,768
12,37560,CJ헬로,106002,텔레비전 방송업,77446865,193617162500,2500,원(KRW),02-1855-1000,"서울특별시 마포구 월드컵북로56길 19 6층(상암동, 드림타워) ",768
13,590,CS홀딩스,116409,기타 금융업,1154482,5772410000,5000,원(KRW),02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),768
14,12030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",185935843,92967921500,500,원(KRW),02-2136-6000,서울특별시 강남구 삼성로96길 23 7층,768
15,16610,DB금융투자,116601,금융 지원 서비스업,42446389,212231945000,5000,원(KRW),02-369-3000,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,768
16,5830,DB손해보험,116501,보험업,70800000,35400000000,500,원(KRW),02-1588-0100,서울특별시 강남구  테헤란로 432 ,768
17,990,DB하이텍,32601,반도체 제조업,44367832,222400740000,5000,원(KRW),02-3484-2888,서울특별시 강남구  테헤란로 432 (주)동부하이텍,768
18,139130,DGB금융지주,116409,기타 금융업,169145833,845729165000,5000,원(KRW),537407900,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,768
19,4840,DRB동일,116409,기타 금융업,19000000,9500000000,500,원(KRW),051-520-9000,부산광역시 금정구 공단동로55번길 28 ,768
20,155660,DSR,32402,1차 비철금속 제조업,16000000,8000000000,500,원(KRW),02-3420-3591,부산광역시 강서구 녹산산업중로192번길 7 ,768
21,69730,DSR제강,32401,1차 철강 제조업,14400000,7200000000,500,원(KRW),061-752-0121,전라남도 순천시  서면 산단1길 15 ,768
22,17940,E1,74607,기타 전문 도매업,6860000,34300000000,5000,원(KRW),02-3441-4114,"서울특별시 강남구  영동대로 517 아셈타워 13,14층",768
23,7700,F&F,31401,봉제의복 제조업,15400000,7700000000,500,원(KRW),02-520-0001,"서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) ",768
24,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,61855670,30927835000,500,원(KRW),3466-6209,서울특별시 강남구 삼성로 610 삼성동,768
25,78930,GS,116409,기타 금융업,92915378,473501020000,5000,원(KRW),-,서울특별시 강남구 논현로 508 ,768
26,6360,GS건설,64101,건물 건설업,71675237,358376185000,5000,원(KRW),02-2154-1112,서울특별시 종로구 종로 33 그랑서울,768
27,1250,GS글로벌,74608,상품 종합 도매업,82533764,206334410000,2500,원(KRW),02-2270-8114,서울특별시 강남구 논현로 508 GS강남타워 ,768
28,7070,GS리테일,74701,종합 소매업,77000000,77000000000,1000,원(KRW),02-2005-1114,서울특별시 강남구 논현로 508GS타워(역삼동 679) ,768
29,175330,JB금융지주,116409,기타 금융업,155439423,777197115000,5000,원(KRW),02-2128-2727,전라북도 전주시 덕진구  백제대로 566 ,768
30,234080,JW생명과학,32102,의약품 제조업,7917277,39586385000,5000,원(KRW),041-351-7600,충청남도 당진시 송악읍 한진1길 28 ,768
31,1060,JW중외제약,32102,의약품 제조업,19117112,48406142500,2500,원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 ,768
32,96760,JW홀딩스,116409,기타 금융업,62020883,31010441500,500,원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 ,768
33,105560,KB금융,116409,기타 금융업,418111537,2090557685000,5000,원(KRW),02-2073-7114,서울특별시 중구  남대문로 84 ,768
34,9440,KC그린홀딩스,116409,기타 금융업,22434980,11217490000,500,원(KRW),02-320-6311,서울특별시 마포구 상암산로 34디지털큐브 12층 ,768
35,119650,KC코트렐,32901,일반 목적용 기계 제조업,13000000,6500000000,500,원(KRW),02-3206-311,서울특별시 마포구 상암산로 34디지털큐브 12층 ,768
36,92220,KEC,32601,반도체 제조업,103940985,51970492500,500,원(KRW),02-2025-5000,서울특별시 서초구  마방로10길 5 ,768
37,109070,KGP,31702,"골판지, 종이 상자 및 종이용기 제조업",6581432,3290716000,500,원(KRW),070-4858-4652,경기도 용인시 처인구  이동면 백옥대로 563 ,768
38,1390,KG케미칼,32001,기초 화학물질 제조업,11929539,61955940000,5000,원(KRW),02-2680-4114,울산광역시 울주군 온산읍 당월로 322 ,768
39,1940,KISCO홀딩스,116409,기타 금융업,3695276,18476380000,5000,원(KRW),055-260-0500,경상남도 창원시 성산구  공단로103번길 12 한국철강(주) ,768
40,83420,KPX그린케미칼,32004,기타 화학제품 제조업,20000000,10000000000,500,원(KRW),041-661-5000,충남 서산시 대산읍 독곳리 411-13,768
